seller_id,monthly_revenue,revenue_growth,order_volume,avg_order_value,return_rate,rating,days_active,inventory_turnover,late_ship_rate,previous_loans,platform,category,defaulted
VN00001,145042247.0,0.6734,1006,264203.0,0.1979,4.4,1673,6.93,0.1689,0,Shopee,Home,0
VN00002,90088382.0,0.8795,113,338032.0,0.1027,4.0,1121,10.51,0.148,3,Shopee,Fashion,0
VN00003,162431414.0,-0.0254,331,152483.0,0.3334,4.8,1157,2.78,0.1589,1,Lazada,Fashion,0
VN00004,313174904.0,0.8622,137,181122.0,0.0895,4.3,1454,8.33,0.2133,4,TikTok Shop,Home,0
VN00005,83836998.0,0.189,813,455497.0,0.114,4.4,1299,12.52,0.0395,2,Lazada,Fashion,0
VN00006,83838030.0,0.0844,471,270608.0,0.2639,3.6,1730,0.81,0.009,1,TikTok Shop,Beauty,0
VN00007,326653199.0,-0.2871,536,227331.0,0.0487,3.3,221,9.58,0.2353,1,TikTok Shop,Beauty,1
VN00008,177694448.0,-0.284,534,137775.0,0.2131,4.7,1760,7.94,0.1392,1,Lazada,Beauty,0
VN00009,70272719.0,0.515,931,325559.0,0.2458,5.0,673,13.34,0.0565,0,TikTok Shop,Fashion,0
VN00010,150116172.0,0.2224,731,135845.0,0.1918,4.4,1349,3.99,0.0514,5,TikTok Shop,Beauty,0
VN00011,70592660.0,-0.0668,329,117233.0,0.0336,4.7,1197,12.1,0.1353,5,Shopee,Beauty,0
VN00012,70470355.0,0.4175,723,212663.0,0.1565,4.6,936,4.67,0.0232,5,TikTok Shop,Fashion,0
VN00013,119816469.0,-0.0339,724,60401.0,0.04,4.3,760,6.3,0.2961,0,TikTok Shop,Home,0
VN00014,23796280.0,0.372,1058,272539.0,0.228,3.4,55,3.38,0.3712,5,Shopee,Electronics,1
VN00015,27407072.0,0.099,574,242431.0,0.0523,4.6,1304,12.16,0.1981,4,Shopee,Beauty,0
VN00016,65547416.0,0.6794,983,168316.0,0.1069,5.0,1660,3.14,0.134,2,TikTok Shop,Fashion,0
VN00017,46752424.0,0.6759,1168,176124.0,0.1027,4.5,741,12.1,0.2012,1,Shopee,Electronics,0
VN00018,126491478.0,0.2467,1170,189158.0,0.1214,4.1,644,6.65,0.1572,5,Shopee,Electronics,0
VN00019,50575708.0,0.0885,370,135325.0,0.1004,4.4,222,11.77,0.0598,0,Shopee,Food,0
VN00020,34648751.0,0.1032,1092,220199.0,0.1553,4.2,410,4.07,0.0802,3,Lazada,Electronics,0
VN00021,299983064.0,0.6571,904,177248.0,0.0779,4.9,1055,2.29,0.0877,0,Shopee,Beauty,0
VN00022,84365387.0,0.0602,807,212400.0,0.05,4.4,1656,7.99,0.088,1,Shopee,Home,0
VN00023,105123473.0,-0.0887,279,185746.0,0.1576,4.6,1098,7.38,0.3234,1,TikTok Shop,Beauty,1
VN00024,34326866.0,-0.2441,996,168339.0,0.0701,4.8,968,5.31,0.3216,0,Shopee,Food,0
VN00025,66433563.0,0.2334,816,230786.0,0.2094,4.6,32,9.45,0.254,3,Shopee,Electronics,0
VN00026,108601083.0,0.2527,57,296722.0,0.027,4.3,959,1.78,0.1031,3,Lazada,Food,0
VN00027,42150404.0,0.7011,876,154448.0,0.2264,3.5,1502,8.9,0.132,1,TikTok Shop,Beauty,0
VN00028,132457648.0,-0.0735,1168,244687.0,0.3239,4.5,1629,3.36,0.0079,0,Shopee,Beauty,0
VN00029,63688908.0,0.1262,364,260333.0,0.1077,4.7,1188,2.24,0.1934,2,TikTok Shop,Beauty,0
VN00030,80295946.0,0.6605,1144,105669.0,0.0671,3.4,1344,12.78,0.0982,2,TikTok Shop,Home,0
VN00031,63637918.0,0.6795,926,327182.0,0.1928,4.5,307,6.71,0.0627,1,TikTok Shop,Beauty,0
VN00032,400894412.0,0.1308,15,561421.0,0.0393,4.3,205,10.81,0.0272,3,Shopee,Beauty,0
VN00033,98925449.0,0.2239,598,192135.0,0.2101,3.1,311,1.7,0.0817,2,Shopee,Electronics,1
VN00034,45204934.0,0.0291,446,184315.0,0.0479,4.4,1173,1.28,0.0617,0,TikTok Shop,Home,0
VN00035,185192926.0,0.8157,67,180502.0,0.2475,4.9,1227,7.18,0.0958,4,Shopee,Electronics,0
VN00036,39999090.0,-0.2017,954,273841.0,0.1502,4.3,1492,4.76,0.0966,4,Shopee,Food,0
VN00037,116878758.0,0.8172,534,259209.0,0.0317,3.2,488,0.57,0.1403,3,Shopee,Fashion,0
VN00038,22982587.0,0.5048,1152,90642.0,0.3246,4.4,1683,2.97,0.1039,5,TikTok Shop,Electronics,0
VN00039,36905106.0,0.3145,161,130215.0,0.0617,4.8,980,3.45,0.1448,4,Shopee,Home,0
VN00040,115831363.0,-0.3092,1177,258760.0,0.1853,3.8,370,4.39,0.0692,0,Shopee,Electronics,0
VN00041,173875474.0,0.2445,643,186743.0,0.0421,4.1,726,12.35,0.0549,5,TikTok Shop,Fashion,0
VN00042,113637738.0,0.1597,313,112077.0,0.0994,4.1,755,6.18,0.2203,1,Shopee,Electronics,0
VN00043,91629496.0,-0.1485,803,425121.0,0.1572,4.3,150,9.67,0.2063,1,Shopee,Fashion,0
VN00044,79731255.0,0.4705,864,134611.0,0.1482,4.0,604,0.75,0.1142,0,TikTok Shop,Home,1
VN00045,32969996.0,0.8639,192,204411.0,0.245,4.9,1714,11.49,0.0414,1,Shopee,Electronics,0
VN00046,58241973.0,0.3527,856,184285.0,0.1251,4.9,1546,3.74,0.1615,0,TikTok Shop,Home,0
VN00047,70739942.0,0.5434,1192,117085.0,0.0524,3.9,305,4.67,0.0117,0,Shopee,Home,0
VN00048,220816295.0,-0.2644,892,220241.0,0.1294,4.9,998,1.11,0.0588,4,Shopee,Food,0
VN00049,129308776.0,0.1721,1153,244276.0,0.0713,3.4,1016,6.03,0.0862,5,TikTok Shop,Food,0
VN00050,26634552.0,-0.2046,773,158921.0,0.1745,3.8,58,12.01,0.0239,4,Lazada,Electronics,1
VN00051,127428117.0,0.416,1106,169720.0,0.1553,4.5,1790,5.61,0.0582,3,Shopee,Electronics,0
VN00052,74864344.0,0.8231,459,271100.0,0.2151,4.3,714,12.77,0.0724,4,TikTok Shop,Home,0
VN00053,60147383.0,0.4772,722,74789.0,0.0197,4.3,1297,12.21,0.0827,1,Shopee,Food,0
VN00054,158102990.0,-0.254,616,131597.0,0.163,4.4,350,1.34,0.0232,5,Shopee,Electronics,1
VN00055,216532161.0,0.0933,159,223400.0,0.1468,4.0,672,4.62,0.04,4,Shopee,Electronics,0
VN00056,200928582.0,0.3383,289,154296.0,0.1206,4.9,381,12.79,0.0841,0,Lazada,Electronics,0
VN00057,53254180.0,0.154,523,153198.0,0.1049,4.6,561,0.9,0.1528,4,Shopee,Food,0
VN00058,79247840.0,0.6921,767,315163.0,0.0417,4.2,1134,10.84,0.2425,1,Shopee,Electronics,0
VN00059,128116117.0,0.6683,491,146289.0,0.0694,4.7,1346,12.74,0.0593,3,TikTok Shop,Home,0
VN00060,207711124.0,0.4148,1191,540143.0,0.3532,4.5,323,10.9,0.0613,5,Shopee,Electronics,0
VN00061,69763347.0,0.1168,1142,83512.0,0.0488,4.1,1550,10.54,0.0329,2,Shopee,Beauty,0
VN00062,86942346.0,-0.0308,1113,66437.0,0.1487,4.1,487,11.89,0.2388,5,Shopee,Fashion,0
VN00063,43586096.0,-0.2177,1166,311598.0,0.1609,3.7,776,9.49,0.1409,0,Lazada,Home,1
VN00064,40745055.0,0.0936,680,122765.0,0.2286,3.9,762,6.21,0.0778,1,Shopee,Electronics,0
VN00065,183806543.0,0.1665,582,123805.0,0.1416,4.1,1735,1.35,0.0668,1,Lazada,Beauty,0
VN00066,276350355.0,0.4948,545,328524.0,0.0785,4.3,1611,11.14,0.0747,2,Shopee,Food,0
VN00067,94678018.0,0.4727,173,156587.0,0.4669,3.8,1113,12.72,0.0361,3,Shopee,Home,1
VN00068,212117235.0,-0.2624,695,316532.0,0.2753,4.3,1661,7.41,0.0816,0,Lazada,Home,0
VN00069,131068025.0,0.1441,37,147974.0,0.1792,4.0,572,7.69,0.166,3,TikTok Shop,Electronics,0
VN00070,61599246.0,-0.1228,1085,240690.0,0.03,3.9,409,5.94,0.0299,2,Shopee,Food,0
VN00071,131044393.0,-0.154,539,155483.0,0.2116,4.5,353,12.07,0.1391,0,Shopee,Electronics,0
VN00072,316719609.0,0.6841,743,126765.0,0.2822,4.3,1681,0.7,0.1351,4,Shopee,Beauty,0
VN00073,97282577.0,-0.2976,158,477014.0,0.0403,4.2,1115,8.93,0.0436,3,TikTok Shop,Fashion,0
VN00074,323103332.0,0.174,682,350891.0,0.0762,4.5,974,12.75,0.2451,4,TikTok Shop,Food,0
VN00075,14008729.0,-0.1397,695,139620.0,0.0861,3.6,1199,1.89,0.2399,0,Shopee,Fashion,1
VN00076,185103721.0,0.7492,987,183653.0,0.1601,3.6,872,13.45,0.2303,2,Lazada,Beauty,0
VN00077,106673711.0,0.3463,813,420043.0,0.098,4.0,391,13.56,0.2286,4,Shopee,Home,0
VN00078,79856712.0,-0.0608,99,122503.0,0.1813,4.1,82,13.05,0.2173,4,Shopee,Beauty,0
VN00079,107051500.0,0.278,430,125863.0,0.2093,4.6,431,6.74,0.2236,1,Shopee,Fashion,0
VN00080,22506694.0,0.5644,708,253985.0,0.1219,3.9,1616,5.67,0.0091,0,Lazada,Food,0
VN00081,84752524.0,0.8476,496,624838.0,0.2125,3.9,710,10.03,0.0965,5,Shopee,Electronics,0
VN00082,130624118.0,-0.0744,470,206265.0,0.0991,4.7,1022,4.8,0.0773,2,TikTok Shop,Fashion,0
VN00083,302750785.0,0.7577,841,339390.0,0.0982,3.7,898,1.42,0.0391,1,Lazada,Food,0
VN00084,67747447.0,0.8179,311,120726.0,0.1909,4.7,736,12.67,0.0602,3,TikTok Shop,Fashion,0
VN00085,54495561.0,0.7955,1150,240512.0,0.1723,4.2,1502,9.07,0.2604,2,TikTok Shop,Home,0
VN00086,68591708.0,0.4443,1134,167744.0,0.1017,3.8,1136,3.3,0.0203,1,Shopee,Home,0
VN00087,198550014.0,0.4373,964,510585.0,0.1889,3.7,408,0.75,0.0958,3,TikTok Shop,Electronics,0
VN00088,127874942.0,0.154,694,446567.0,0.2114,4.1,675,10.27,0.0267,2,Shopee,Home,0
VN00089,67166143.0,0.5905,392,627631.0,0.053,4.5,1511,12.01,0.1201,1,Lazada,Beauty,0
VN00090,146854165.0,0.3141,1194,141812.0,0.2225,4.2,962,5.98,0.0687,2,Shopee,Electronics,0
VN00091,107479228.0,0.4968,435,204383.0,0.3811,4.7,110,1.59,0.0308,4,Shopee,Fashion,1
VN00092,206638974.0,0.1856,119,242216.0,0.0788,4.6,760,9.26,0.0246,1,Shopee,Beauty,0
VN00093,59024323.0,0.5644,344,144606.0,0.1813,4.6,543,4.51,0.0512,4,Shopee,Food,0
VN00094,78158814.0,0.6806,453,214385.0,0.1591,4.6,1362,2.44,0.1779,1,Shopee,Fashion,0
VN00095,74470891.0,-0.167,1170,316313.0,0.1591,3.9,950,7.39,0.3027,4,TikTok Shop,Home,0
VN00096,33343179.0,0.6912,396,152484.0,0.2061,4.6,792,7.0,0.1698,0,Lazada,Fashion,0
VN00097,124783427.0,0.3254,152,141255.0,0.155,5.0,523,7.48,0.0731,4,TikTok Shop,Home,0
VN00098,121544554.0,0.7058,957,136649.0,0.0771,4.7,1289,11.62,0.0209,0,Shopee,Beauty,0
VN00099,100315933.0,0.1891,857,102554.0,0.1667,4.0,1721,7.04,0.0484,5,Shopee,Beauty,0
VN00100,83809728.0,0.1238,284,307736.0,0.15,3.9,970,12.66,0.0087,2,Lazada,Beauty,0
VN00101,34569140.0,0.7938,410,141092.0,0.0748,4.3,1090,11.86,0.022,3,Shopee,Electronics,0
VN00102,72893936.0,-0.036,927,133846.0,0.2173,4.6,770,9.29,0.1171,3,TikTok Shop,Home,0
VN00103,77281419.0,0.7053,478,261590.0,0.1042,4.3,1710,1.27,0.2549,3,Shopee,Fashion,0
VN00104,54750226.0,0.255,464,199724.0,0.1132,3.6,354,12.18,0.1052,0,Lazada,Fashion,0
VN00105,88546263.0,0.2926,34,154390.0,0.2787,4.6,1109,12.73,0.1448,3,Shopee,Fashion,0
VN00106,135304472.0,0.0356,253,301135.0,0.0468,4.7,1174,5.56,0.1533,3,Shopee,Electronics,0
VN00107,411220213.0,0.3663,432,151339.0,0.0913,3.8,343,7.6,0.1364,4,TikTok Shop,Electronics,0
VN00108,113911611.0,0.0565,1069,67611.0,0.3372,4.7,1264,4.29,0.1399,5,Shopee,Home,0
VN00109,121225474.0,-0.3009,1142,391062.0,0.2523,4.3,132,0.7,0.1916,3,TikTok Shop,Electronics,0
VN00110,94505214.0,-0.01,200,132707.0,0.1532,4.4,468,6.97,0.0587,0,Shopee,Beauty,0
VN00111,23698483.0,-0.342,1166,140158.0,0.3456,4.5,846,2.25,0.0423,4,Shopee,Fashion,1
VN00112,97964389.0,0.8729,267,140468.0,0.1173,4.3,776,2.97,0.1287,0,Shopee,Beauty,0
VN00113,104549652.0,0.8572,33,206861.0,0.1213,4.0,67,6.99,0.0859,1,Shopee,Electronics,0
VN00114,633918899.0,0.1439,726,175059.0,0.1477,4.4,842,12.21,0.0225,3,Lazada,Fashion,0
VN00115,86506428.0,0.5605,1174,329073.0,0.1519,4.2,1673,11.9,0.0892,0,Lazada,Food,0
VN00116,125292368.0,0.0823,237,457054.0,0.0224,4.4,1467,13.53,0.0328,0,TikTok Shop,Beauty,0
VN00117,97363911.0,0.4889,17,142971.0,0.1671,4.1,1277,7.02,0.1664,4,TikTok Shop,Food,0
VN00118,41595039.0,0.6568,868,125617.0,0.047,4.4,1046,7.95,0.036,1,Shopee,Home,0
VN00119,235475424.0,0.8334,242,154670.0,0.1601,4.2,1346,11.6,0.0307,1,Shopee,Beauty,0
VN00120,175640487.0,0.1503,927,250078.0,0.0804,3.7,1749,9.95,0.1829,3,TikTok Shop,Fashion,0
VN00121,180867262.0,0.6291,513,189438.0,0.0583,4.5,184,2.97,0.0526,5,Shopee,Fashion,0
VN00122,50524019.0,-0.0176,535,156341.0,0.2084,4.7,1085,5.88,0.0616,2,Shopee,Food,0
VN00123,286169753.0,0.8879,716,104977.0,0.046,4.4,1287,13.04,0.2955,2,TikTok Shop,Fashion,0
VN00124,34921446.0,-0.3178,931,66540.0,0.0523,4.1,518,2.47,0.209,4,TikTok Shop,Beauty,1
VN00125,155187221.0,0.4044,1177,121497.0,0.1069,4.4,1623,3.33,0.0064,3,Shopee,Electronics,0
VN00126,516632175.0,0.4744,305,377833.0,0.0723,3.9,1386,5.91,0.0758,4,TikTok Shop,Electronics,0
VN00127,47540748.0,0.5101,1091,249695.0,0.1466,4.6,1728,13.19,0.0249,5,Lazada,Fashion,0
VN00128,65350569.0,-0.1995,1148,182450.0,0.1347,4.6,1070,2.04,0.304,3,Shopee,Home,0
VN00129,107686903.0,0.8232,729,289206.0,0.0633,4.2,1467,9.58,0.0409,1,TikTok Shop,Beauty,0
VN00130,68503354.0,-0.1235,962,105457.0,0.0975,4.3,1711,2.28,0.314,2,Shopee,Home,0
VN00131,31233520.0,0.4284,662,206566.0,0.1638,3.7,1794,7.58,0.1274,0,Lazada,Food,0
VN00132,105205089.0,-0.0717,1042,82193.0,0.0531,4.5,269,7.74,0.165,2,Shopee,Fashion,0
VN00133,45049490.0,0.034,698,238711.0,0.0472,4.1,1339,1.08,0.1773,3,Lazada,Food,0
VN00134,142548710.0,0.3331,884,228607.0,0.1432,2.9,375,13.38,0.1577,5,Lazada,Home,0
VN00135,50145123.0,0.1715,1085,231342.0,0.165,4.3,1428,11.39,0.0619,2,TikTok Shop,Beauty,0
VN00136,319558465.0,-0.1497,108,359982.0,0.1497,4.2,45,4.59,0.0462,0,TikTok Shop,Home,0
VN00137,55537000.0,-0.1363,954,295965.0,0.1052,3.7,616,2.26,0.0931,1,Shopee,Electronics,0
VN00138,78487808.0,0.1727,574,109704.0,0.023,4.7,979,5.17,0.0811,1,Lazada,Home,0
VN00139,183943263.0,0.5966,227,362710.0,0.169,4.0,289,12.57,0.1846,3,TikTok Shop,Home,0
VN00140,39699604.0,0.7725,450,180823.0,0.0549,3.8,390,2.29,0.4482,2,Shopee,Home,0
VN00141,118520316.0,-0.2448,866,74976.0,0.0405,4.8,1452,5.22,0.0411,3,Shopee,Home,0
VN00142,266359395.0,0.1414,522,190160.0,0.0717,4.4,489,7.17,0.1078,2,Shopee,Beauty,0
VN00143,29930470.0,-0.2247,850,277497.0,0.321,3.7,1569,0.94,0.0946,4,TikTok Shop,Fashion,1
VN00144,114773984.0,-0.3293,665,120943.0,0.119,4.2,960,4.12,0.3424,3,Lazada,Beauty,0
VN00145,121437720.0,0.4771,219,390987.0,0.1398,3.8,1138,8.54,0.0402,2,TikTok Shop,Food,0
VN00146,179622351.0,0.4031,395,126544.0,0.1998,3.6,1116,4.87,0.0238,4,Shopee,Electronics,0
VN00147,39518796.0,-0.1462,1111,157858.0,0.0603,3.5,129,12.25,0.1197,3,Shopee,Fashion,0
VN00148,37119669.0,-0.0577,1114,144009.0,0.1475,4.6,784,13.15,0.1125,1,TikTok Shop,Electronics,0
VN00149,147812653.0,-0.3204,91,85435.0,0.1952,3.8,324,6.46,0.0423,5,TikTok Shop,Electronics,1
VN00150,124864350.0,0.6937,830,122202.0,0.093,3.7,1215,7.68,0.2469,4,Shopee,Fashion,0
VN00151,120585504.0,0.8684,782,140656.0,0.3628,4.1,958,9.02,0.0957,3,TikTok Shop,Fashion,0
VN00152,129583518.0,-0.1807,424,188141.0,0.1624,5.0,1231,9.47,0.0265,0,TikTok Shop,Food,0
VN00153,60007581.0,-0.0607,120,44769.0,0.0593,4.4,1497,1.35,0.0513,5,TikTok Shop,Beauty,0
VN00154,118947202.0,0.7355,565,287298.0,0.168,4.6,357,1.22,0.0795,1,TikTok Shop,Fashion,0
VN00155,124498516.0,0.8081,840,285883.0,0.0854,3.7,1381,12.19,0.0971,5,TikTok Shop,Food,0
VN00156,58482401.0,0.1745,102,362482.0,0.2181,4.4,793,3.47,0.0277,5,Shopee,Home,0
VN00157,404972971.0,-0.2867,895,95242.0,0.0661,4.2,1095,8.39,0.0179,4,Lazada,Fashion,0
VN00158,142574423.0,-0.3008,1115,173440.0,0.0427,3.9,271,8.93,0.2007,2,Shopee,Beauty,0
VN00159,40895164.0,0.3674,1115,321489.0,0.1324,4.1,1395,2.72,0.0621,0,TikTok Shop,Home,0
VN00160,163514987.0,0.1411,554,335624.0,0.2795,3.9,1144,10.78,0.2116,2,Shopee,Home,0
VN00161,48109429.0,-0.3142,259,420612.0,0.1238,4.3,1081,12.19,0.086,5,TikTok Shop,Home,0
VN00162,180332595.0,0.3791,592,211368.0,0.1711,4.1,488,4.35,0.1977,0,Lazada,Home,0
VN00163,238277539.0,-0.3359,996,195246.0,0.0397,3.9,696,12.35,0.0355,3,Shopee,Electronics,0
VN00164,53999657.0,0.6342,731,92136.0,0.0776,4.1,1684,1.59,0.1466,3,Lazada,Beauty,0
VN00165,205824021.0,0.033,156,341956.0,0.3451,4.6,1438,11.31,0.1212,2,Shopee,Food,0
VN00166,136193291.0,-0.2997,907,159507.0,0.1061,3.6,1540,9.14,0.1395,5,Shopee,Fashion,0
VN00167,185125609.0,0.3854,1122,204224.0,0.0796,3.9,249,8.37,0.0111,2,Lazada,Food,0
VN00168,414504644.0,0.1471,1181,197518.0,0.0474,4.4,888,3.61,0.0799,2,TikTok Shop,Electronics,0
VN00169,83133550.0,0.8673,366,60638.0,0.2797,3.9,293,5.38,0.0938,4,Shopee,Home,0
